353822082476839,Apple-iPhone7-JetBlack,X,40,18,74
353823089128282,Apple-iPhone7-JetBlack,D+,64,101,159
354913091609087,Apple-iPhone7-JetBlack,D+,2,0,84
355308082338383,Apple-iPhone7-JetBlack,D+,53,55,91
355309081619757,Apple-iPhone7-JetBlack,D+,2,1,35
355309081710879,Apple-iPhone7-JetBlack,X,0,0,66
355310086270109,Apple-iPhone7-JetBlack,D,38,51,95
355340084191890,Apple-iPhone7-JetBlack,D+,0,0,32
355829086709501,Apple-iPhone7-JetBlack,D+,18,9,86
359168076124876,Apple-iPhone7-JetBlack,D+,0,1,31
353823083185080,Apple-iPhone7-MatteBlack,C,2,5,9
353826080017123,Apple-iPhone7-MatteBlack,D+,1,4,27
354912090646678,Apple-iPhone7-MatteBlack,C,4,5,10
355309080290246,Apple-iPhone7-MatteBlack,C,2,3,10
355309087596884,Apple-iPhone7-MatteBlack,C,1,2,12
355342080805127,Apple-iPhone7-MatteBlack,D+,14,9,15
355343085107741,Apple-iPhone7-MatteBlack,C,8,5,11
355824080690872,Apple-iPhone7-MatteBlack,C,2,4,1
355827080449579,Apple-iPhone7-MatteBlack,A+,0,0,0
355830088309035,Apple-iPhone7-MatteBlack,D+,1,8,35
355833089657097,Apple-iPhone7-MatteBlack,C,0,4,7
359162072055341,Apple-iPhone7-MatteBlack,D+,4,11,16
359162074459749,Apple-iPhone7-MatteBlack,C,5,3,14
359162075382767,Apple-iPhone7-MatteBlack,C,6,6,12
359164075810789,Apple-iPhone7-MatteBlack,D+,1,1,20
359165073783209,Apple-iPhone7-MatteBlack,C,7,2,17
359166071681049,Apple-iPhone7-MatteBlack,C,12,5,7
359170073915868,Apple-iPhone7-MatteBlack,D+,9,2,204
359461083328030,Apple-iPhone7-MatteBlack,D+,4,1,53
359463087947450,Apple-iPhone7-MatteBlack,D+,10,2,17
353818081613760,Apple-iPhone7Plus-MatteBlack,D+,0,148,48
353818086799234,Apple-iPhone7Plus-MatteBlack,D+,0,105,50
353820081196796,Apple-iPhone7Plus-MatteBlack,D+,0,172,80
353820085862203,Apple-iPhone7Plus-MatteBlack,D+,0,581,56
353821085453464,Apple-iPhone7Plus-MatteBlack,D+,0,138,56
355375084019667,Apple-iPhone7Plus-MatteBlack,D+,0,100,78
355375087892284,Apple-iPhone7Plus-MatteBlack,D+,0,149,51
